"","follower_count","following_count","account_language","tweet_client_name","is_retweet","reply_count","like_count","retweet_count","numcaracter","account_creation_year","account_creation_month","tweet_hour"
"9293",7566,4526,1,4,2,0,0,0,132,2017,3,16
"9294",8685,1451,1,4,2,0,0,0,162,2015,1,2
"9295",3051,271,1,2,2,0,0,0,142,2017,12,3
"9296",4215,5347,2,1,1,0,0,0,281,2017,12,8
"9297",81,134,1,1,1,0,0,0,75,2015,3,14
"9298",3051,271,1,6,2,0,0,0,93,2017,12,2
"9299",3051,271,1,1,2,0,0,0,141,2017,12,1
"9300",7566,4526,1,4,2,0,0,0,142,2017,3,0
"9301",1538,93,1,1,1,0,0,0,140,2013,6,20
"9302",3051,271,1,2,2,0,0,0,142,2017,12,15
"9303",3051,271,1,2,1,0,0,0,363,2017,12,19
"9304",124,241,1,1,2,0,0,0,126,2014,5,2
"9305",8685,1451,1,4,2,0,0,0,37,2015,1,23
"9306",4989,4418,1,4,2,0,0,0,149,2015,8,6
"9307",7566,4526,1,4,2,0,0,0,150,2017,3,2
"9308",7566,4526,1,4,2,0,0,0,142,2017,3,2
"9309",128,124,1,1,1,0,0,0,62,2014,5,1
"9310",8685,1451,1,4,2,0,0,0,142,2015,1,19
"9311",8685,1451,1,4,2,0,0,0,105,2015,1,15
"9312",8685,1451,1,4,2,0,0,0,142,2015,1,6
"9313",8685,1451,1,4,2,0,0,0,142,2015,1,0
"9314",1538,93,1,1,1,1,0,1,144,2013,6,19
"9315",3051,271,1,2,1,0,0,0,359,2017,12,19
"9316",8685,1451,1,4,2,0,0,0,146,2015,1,0
"9317",8685,1451,1,4,2,0,0,0,144,2015,1,3
"9318",7566,4526,1,4,2,0,0,0,142,2017,3,22
"9319",8685,1451,1,4,2,0,0,0,142,2015,1,10
"9320",3051,271,1,2,1,0,0,0,35,2017,12,21
"9321",8685,1451,1,4,2,0,0,0,142,2015,1,20
"9322",8685,1451,1,4,2,0,0,0,94,2015,1,0
"9323",1538,93,1,1,2,0,0,0,142,2013,6,7
"9324",8685,1451,1,4,2,0,0,0,142,2015,1,16
"9325",8685,1451,1,4,2,0,0,0,140,2015,1,20
"9326",3051,271,1,2,2,0,0,0,130,2017,12,17
"9327",3051,271,1,2,1,0,1,0,144,2017,12,7
"9328",8685,1451,1,4,2,0,0,0,63,2015,1,16
"9329",8685,1451,1,4,2,0,0,0,44,2015,1,18
"9330",3920,5108,2,1,1,0,4,3,193,2017,12,11
"9331",71,119,1,1,1,0,0,0,38,2015,3,14
"9332",8685,1451,1,4,2,0,0,0,140,2015,1,23
"9333",8685,1451,1,4,2,0,0,0,84,2015,1,16
"9334",8685,1451,1,4,2,0,0,0,122,2015,1,2
"9335",8685,1451,1,4,2,0,0,0,73,2015,1,1
"9336",4989,4418,1,4,2,0,0,0,142,2015,8,18
"9337",92,150,1,7,2,0,0,0,142,2015,3,6
"9338",3051,271,1,6,2,0,0,0,118,2017,12,22
"9339",8685,1451,1,4,2,0,0,0,143,2015,1,21
"9340",4989,4418,1,4,1,0,0,0,121,2015,8,23
"9341",8685,1451,1,4,2,0,0,0,43,2015,1,7
"9342",8685,1451,1,4,2,0,0,0,142,2015,1,18
"9343",80,108,1,1,1,0,0,0,79,2015,3,22
"9344",3020,2518,1,4,2,0,0,0,120,2017,6,23
"9345",8685,1451,1,4,2,0,0,0,142,2015,1,23
"9346",3051,271,1,2,1,0,0,0,429,2017,12,0
